87.236.176.124 - - [13/Dec/2024:00:02:43 +0000] "GET / HTTP/1.1" 200 599 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)"
154.213.187.122 - - [13/Dec/2024:00:20:31 +0000] "GET /login.rsp HTTP/1.1" 404 453 "-" "Hello World"
35.189.232.73 - - [13/Dec/2024:00:20:52 +0000] "GET / HTTP/1.1" 200 636 "-" "python-requests/2.32.3"
45.79.181.179 - - [13/Dec/2024:00:34:37 +0000] "GET / HTTP/1.1" 200 580 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
181.49.205.58 - - [13/Dec/2024:00:46:35 +0000] "GET /admin/config.php HTTP/1.0" 404 453 "-" "xfa1"
141.98.11.35 - - [13/Dec/2024:01:03:31 +0000] "GET / HTTP/1.1" 200 636 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
143.110.222.166 - - [13/Dec/2024:01:06:05 +0000] "GET / HTTP/1.1" 200 580 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1"
80.94.93.191 - - [13/Dec/2024:01:10:34 +0000] "GET / HTTP/1.1" 200 711 "-" "libwww-perl/6.77"
112.43.33.18 - - [13/Dec/2024:01:12:10 +0000] "GET / HTTP/1.1" 200 692 "-" "-"
95.214.55.43 - - [13/Dec/2024:01:29:37 +0000] "GET / HTTP/1.1" 200 636 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
95.214.53.205 - - [13/Dec/2024:01:31:37 +0000] "GET / HTTP/1.1" 200 692 "-" "-"
167.94.138.53 - - [13/Dec/2024:01:32:42 +0000] "\x16\x03\x01" 400 483 "-" "-"
167.94.138.53 - - [13/Dec/2024:01:32:48 +0000] "GET / HTTP/1.1" 200 580 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.138.53 - - [13/Dec/2024:01:32:49 +0000] "GET /favicon.ico HTTP/1.1" 200 15352 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
167.94.138.53 - - [13/Dec/2024:01:32:50 +0000] "PRI * HTTP/2.0" 400 483 "-" "-"
87.120.115.119 - - [13/Dec/2024:01:40:08 +0000] "GET /.git/config HTTP/1.1" 404 453 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
141.98.11.155 - - [13/Dec/2024:01:59:46 +0000] "GET / HTTP/1.1" 200 692 "-" "-"
92.249.48.242 - - [13/Dec/2024:02:01:24 +0000] "GET / HTTP/1.1" 400 483 "-" "curl/7.68.0"
92.255.57.58 - - [13/Dec/2024:02:06:50 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 599 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
80.94.93.191 - - [13/Dec/2024:02:09:19 +0000] "GET / HTTP/1.0" 200 711 "-" "masscan/1.0 (https://github.com/robertdavidgraham/masscan)"
143.110.222.166 - - [13/Dec/2024:02:15:24 +0000] "GET / HTTP/1.1" 200 580 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1"
84.239.27.130 - - [13/Dec/2024:02:35:45 +0000] "GET /.env HTTP/1.1" 404 488 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0"
80.82.77.202 - - [13/Dec/2024:02:57:50 +0000] "\x16\x03\x02\x01o\x01" 400 483 "-" "-"
143.110.222.166 - - [13/Dec/2024:02:58:03 +0000] "GET / HTTP/1.1" 200 580 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1"
205.210.31.202 - - [13/Dec/2024:03:15:05 +0000] "GET / HTTP/1.0" 200 711 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
120.86.254.110 - - [13/Dec/2024:03:16:06 +0000] "POST /HNAP1/ HTTP/1.0" 408 484 "-" "-"
141.98.11.155 - - [13/Dec/2024:03:17:56 +0000] "GET / HTTP/1.1" 200 692 "-" "-"
93.174.93.12 - - [13/Dec/2024:03:23:13 +0000] "GET / HTTP/1.0" 200 711 "-" "Mozilla/5.0 (Linux; Android 9; SM-M305F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36"
92.255.57.58 - - [13/Dec/2024:03:28:24 +0000] "GET /actuator/gateway/routes HTTP/1.1" 404 453 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
92.255.57.58 - - [13/Dec/2024:03:34:29 +0000] "\x16\x03\x01\x05\xa8\x01" 400 483 "-" "-"
81.161.238.40 - - [13/Dec/2024:03:51:42 +0000] "GET /.env HTTP/1.1" 404 453 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36"
143.110.222.166 - - [13/Dec/2024:03:59:00 +0000] "GET / HTTP/1.1" 200 580 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1"
81.161.238.40 - - [13/Dec/2024:04:04:26 +0000] "GET /.env HTTP/1.1" 404 453 "-" "Mozilla/5.0 (Linux; Android 5.1.1; KYF39 Build/100.0.2039; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36"
206.168.34.49 - - [13/Dec/2024:04:11:40 +0000] "\x16\x03\x01" 400 483 "-" "-"
206.168.34.49 - - [13/Dec/2024:04:11:48 +0000] "GET / HTTP/1.1" 200 580 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
206.168.34.49 - - [13/Dec/2024:04:11:50 +0000] "GET /favicon.ico HTTP/1.1" 200 15352 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
206.168.34.49 - - [13/Dec/2024:04:11:54 +0000] "PRI * HTTP/2.0" 400 483 "-" "-"
93.123.85.250 - - [13/Dec/2024:04:12:59 +0000] "GET /.env HTTP/1.1" 404 434 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
